"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"117","Congressional Committee Prints","CPRT-93SPRT29614","CPRT-93SPRT29614","The Inter-American Conference of Tlatelolco in Mexico City.","https://www.govinfo.gov/app/details/CPRT-93SPRT29614/CPRT-93SPRT29614","https://www.govinfo.gov/content/pkg/CPRT-93SPRT29614/pdf/CPRT-93SPRT29614.pdf","23.1 MB","","0 B","","0 B","","0 B","","0 B"," STATt UNiVTRSITY REPORT OF SENATOR MIKE MANSFIELD ■Ill 1 TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON THE ' CONFERENCE AND CONGRESSIONAL PARTICIPATION MARCH 1974 Printed for the use of the Committee on Foreign Relations 29-614 U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1974 COMMITTEE ON FOREIGN RELATIONS J. W. FULBRIGHT, ...","","1974-03-01"
"118","Congressional Committee Prints","CPRT-92JPRT55357O","CPRT-92JPRT55357O","Legislation on foreign relations. April 1971.","https://www.govinfo.gov/app/details/CPRT-92JPRT55357O/CPRT-92JPRT55357O","https://www.govinfo.gov/content/pkg/CPRT-92JPRT55357O/pdf/CPRT-92JPRT55357O.pdf","628.5 MB","","0 B","","0 B","","0 B","","0 B"," ui ru c IT H tr □ □ (T H ; h = < COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE COMMITTEE ON FOREIGN AFFAIRS U.S. HOUSE OF REPRESENTATIVES APRIL 1971 Printed for the use of the Committees on Foreign Relations and Foreign Affairs of the Senate and House of Representatives respectively 92d Congress 1 1st Session J JOINT COMMITTEE PRINT ...","","1971-04-01"
"119","Congressional Committee Prints","CPRT-116SPRT45166","CPRT-116SPRT45166","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE DURING THE ONE HUNDRED SIXTEENTH CONGRESS FIRST SESSION JANUARY 3, 2019 TO JANUARY 3, 2020","https://www.govinfo.gov/app/details/CPRT-116SPRT45166/CPRT-116SPRT45166","https://www.govinfo.gov/content/pkg/CPRT-116SPRT45166/pdf/CPRT-116SPRT45166.pdf","6.9 MB","https://www.govinfo.gov/content/pkg/CPRT-116SPRT45166/html/CPRT-116SPRT45166.htm","605.0 KB","","0 B","","0 B","","0 B"," ONE HUNDRED SIXTEENTH CONGRESS First Session January 3, 2019 to January 3, 2020 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 45-166 PDF WASHINGTON : 2021 COMMITTEE ON FOREIGN RELATIONS JAMES E. RISCH, ...","","2019-01-03"
"120","Congressional Committee Prints","CPRT-118SPRT53579","CPRT-118SPRT53579","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-118SPRT53579/CPRT-118SPRT53579","https://www.govinfo.gov/content/pkg/CPRT-118SPRT53579/pdf/CPRT-118SPRT53579.pdf","65.0 KB","https://www.govinfo.gov/content/pkg/CPRT-118SPRT53579/html/CPRT-118SPRT53579.htm","14.4 KB","","0 B","","0 B","","0 B","STATES SENATE [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] SEPTEMBER 2023 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PUBLISHING OFFICE 53-579 PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN RELATIONS BENJAMIN L. CARDIN, Maryland, Chairman ROBERT MENENDEZ, New Jersey JAMES E. RISCH, Idaho JEANNE SHAHEEN, New Hampshire MARCO ...","","2023-09-01"
"121","Congressional Committee Prints","CPRT-116SPRT42155","CPRT-116SPRT42155","THE UNITED STATES AND EUROPE: A CONCRETE AGENDA FOR TRANSATLANTIC COOPERATION ON CHINA","https://www.govinfo.gov/app/details/CPRT-116SPRT42155/CPRT-116SPRT42155","https://www.govinfo.gov/content/pkg/CPRT-116SPRT42155/pdf/CPRT-116SPRT42155.pdf","831.6 KB","https://www.govinfo.gov/content/pkg/CPRT-116SPRT42155/html/CPRT-116SPRT42155.htm","512.6 KB","","0 B","","0 B","","0 B"," A MAJORITY REPORT PREPARED FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Sixteenth Congress SECOND SESSION November 18, 2020 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PUBLISHING OFFICE 42-155 PDF WASHINGTON : 2020 COMMITTEE ON FOREIGN RELATIONS JAMES E. RISCH, Idaho, Chairman MARCO RUBIO, ...","","2020-11-18"
"122","Congressional Committee Prints","CPRT-116SPRT34577","CPRT-116SPRT34577","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-116SPRT34577/CPRT-116SPRT34577","https://www.govinfo.gov/content/pkg/CPRT-116SPRT34577/pdf/CPRT-116SPRT34577.pdf","68.0 KB","https://www.govinfo.gov/content/pkg/CPRT-116SPRT34577/html/CPRT-116SPRT34577.htm","14.3 KB","","0 B","","0 B","","0 B"," SENATE [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PUBLISHING OFFICE 34-577 PDF WASHINGTON : 2019 COMMITTEE ON FOREIGN RELATIONS JAMES E. RISCH, Idaho, Chairman MARCO RUBIO, Florida ROBERT MENENDEZ, New Jersey RON JOHNSON, Wisconsin BENJAMIN L. CARDIN, Maryland CORY GARDNER, Colorado JEANNE SHAHEEN, New Hampshire MITT ROMNEY, Utah ...","","2020-01-01"
"123","Congressional Committee Prints","CPRT-116SPRT44530","CPRT-116SPRT44530","EXAMINING THE STATE DEPARTMENT'S CLAIMS ABOUT THE INTERNATIONAL WOMEN OF COURAGE AWARD AND JESSIKKA ARO","https://www.govinfo.gov/app/details/CPRT-116SPRT44530/CPRT-116SPRT44530","https://www.govinfo.gov/content/pkg/CPRT-116SPRT44530/pdf/CPRT-116SPRT44530.pdf","1.0 MB","https://www.govinfo.gov/content/pkg/CPRT-116SPRT44530/html/CPRT-116SPRT44530.htm","55.9 KB","","0 B","","0 B","","0 B"," AND JESSIKKA ARO A MINORITY STAFF REPORT PREPARED FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Sixteenth Congress SECOND SESSION March 20, 2019 [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] COMMITTEE ON FOREIGN RELATIONS JAMES E. RISCH, Idaho, Chairman MARCO RUBIO, Florida ROBERT MENENDEZ, New Jersey RON JOHNSON, ...","","2019-03-20"
"124","Congressional Committee Prints","CPRT-116SPRT44530","CPRT-116SPRT44530-Errata","ERRATA]","https://www.govinfo.gov/app/details/CPRT-116SPRT44530/CPRT-116SPRT44530-Errata","https://www.govinfo.gov/content/pkg/CPRT-116SPRT44530/pdf/CPRT-116SPRT44530-Errata.pdf","49.7 KB","https://www.govinfo.gov/content/pkg/CPRT-116SPRT44530/html/CPRT-116SPRT44530-Errata.htm","2.3 KB","","0 B","","0 B","","0 B"," AWARD AND JESSIKKA ARO A MINORITY STAFF REPORT PREPARED FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION March 20, 2019 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.govinfo.gov...","","2019-03-20"
"125","Congressional Committee Prints","CPRT-115SPRT28110","CPRT-115SPRT28110","PUTIN'S ASYMMETRIC ASSAULT ON DEMOCRACY IN RUSSIA AND EUROPE: IMPLICATIONS FOR U.S. NATIONAL SECURITY","https://www.govinfo.gov/app/details/CPRT-115SPRT28110/CPRT-115SPRT28110","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28110/pdf/CPRT-115SPRT28110.pdf","585.3 KB","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28110/html/CPRT-115SPRT28110.htm","701.2 KB","","0 B","","0 B","","0 B","NATIONAL SECURITY A MINORITY STAFF REPORT PREPARED FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Fifteenth Congress Second Session January 10, 2018 [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.fdsys.gov U.S. GOVERNMENT PUBLISHING OFFICE 28-110 PDF WASHINGTON : 2017 For sale...","","2018-01-10"
"126","Congressional Committee Prints","CPRT-112SPRT74912","CPRT-112SPRT74912","JUDICIAL AND POLICE REFORMS IN MEXICO: ESSENTIAL BUILDING BLOCKS FOR A LAWFUL SOCIETY","https://www.govinfo.gov/app/details/CPRT-112SPRT74912/CPRT-112SPRT74912","https://www.govinfo.gov/content/pkg/CPRT-112SPRT74912/pdf/CPRT-112SPRT74912.pdf","88.2 KB","https://www.govinfo.gov/content/pkg/CPRT-112SPRT74912/html/CPRT-112SPRT74912.htm","43.3 KB","","0 B","","0 B","","0 B"," STAFF REPORT PREPARED FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress Second Session July 9, 2012 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via World Wide Web: http//www.gpo.gov/fdsys/ U.S. GOVERNMENT PRINTING OFFICE 74-912 ...","","2012-07-09"
"127","Congressional Committee Prints","CPRT-112SPRT63345","CPRT-112SPRT63345","WILL RUSSIA END EASTERN EUROPE'S LAST FROZEN CONFLICT?","https://www.govinfo.gov/app/details/CPRT-112SPRT63345/CPRT-112SPRT63345","https://www.govinfo.gov/content/pkg/CPRT-112SPRT63345/pdf/CPRT-112SPRT63345.pdf","80.2 KB","https://www.govinfo.gov/content/pkg/CPRT-112SPRT63345/html/CPRT-112SPRT63345.htm","37.3 KB","","0 B","","0 B","","0 B"," ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress First Session February 8, 2011 U.S. GOVERNMENT PRINTING OFFICE 63-345 WASHINGTON : 2011 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 Mail: ...","","2011-02-08"
"128","Congressional Committee Prints","CPRT-112SPRT64142","CPRT-112SPRT64142","LOSING JOBS AND ALIENATING FRIENDS: THE CONSEQUENCES OF FALLING BEHIND ON FREE TRADE WITH COLOMBIA AND PANAMA","https://www.govinfo.gov/app/details/CPRT-112SPRT64142/CPRT-112SPRT64142","https://www.govinfo.gov/content/pkg/CPRT-112SPRT64142/pdf/CPRT-112SPRT64142.pdf","526.0 KB","https://www.govinfo.gov/content/pkg/CPRT-112SPRT64142/html/CPRT-112SPRT64142.htm","53.7 KB","","0 B","","0 B","","0 B"," WITH COLOMBIA AND PANAMA A REPORT TO THE MEMBERS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress First Session February 8, 2011 ? COMMITTEE ON FOREIGN RELATIONS JOHN F. KERRY, Massachusetts, Chairman BARBARA BOXER, California RICHARD G. LUGAR, Indiana ROBERT MENENDEZ, New Jersey BOB CORKER, Tennessee ...","","2011-02-08"
"129","Congressional Committee Prints","CPRT-111SPRT56884","CPRT-111SPRT56884","HAITI: NO LEADERSHIP--NO ELECTIONS","https://www.govinfo.gov/app/details/CPRT-111SPRT56884/CPRT-111SPRT56884","https://www.govinfo.gov/content/pkg/CPRT-111SPRT56884/pdf/CPRT-111SPRT56884.pdf","71.4 KB","https://www.govinfo.gov/content/pkg/CPRT-111SPRT56884/html/CPRT-111SPRT56884.htm","23.6 KB","","0 B","","0 B","","0 B"," UNITED STATES SENATE One Hundred Eleventh Congress Second Session JUNE 10, 2010 U.S. GOVERNMENT PRINTING OFFICE 56-884 WASHINGTON : 2009 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 Mail: Stop IDCC, Washington...","","2010-06-10"
"130","Congressional Committee Prints","CPRT-111SPRT56883","CPRT-111SPRT56883","U.S. INTERNATIONAL BROADCASTING: --IS ANYBODY LISTENING?-- KEEPING THE U.S. CONNECTED","https://www.govinfo.gov/app/details/CPRT-111SPRT56883/CPRT-111SPRT56883","https://www.govinfo.gov/content/pkg/CPRT-111SPRT56883/pdf/CPRT-111SPRT56883.pdf","1.2 MB","https://www.govinfo.gov/content/pkg/CPRT-111SPRT56883/html/CPRT-111SPRT56883.htm","230.3 KB","","0 B","","0 B","","0 B"," TO THE MEMBERS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Eleventh Congress Second Session JUNE 9, 2010 U.S. GOVERNMENT PRINTING OFFICE 56-883 PDF WASHINGTON : 2010 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) ...","","2010-06-09"
"131","Congressional Committee Prints","CPRT-111SPRT51228","CPRT-111SPRT51228","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-111SPRT51228/CPRT-111SPRT51228","https://www.govinfo.gov/content/pkg/CPRT-111SPRT51228/pdf/CPRT-111SPRT51228.pdf","77.6 KB","https://www.govinfo.gov/content/pkg/CPRT-111SPRT51228/html/CPRT-111SPRT51228.htm","13.4 KB","","0 B","","0 B","","0 B"," Fax: (202) 512�092104 Mail: Stop IDCC, Washington, DC 20402�090001 111th Congress 1st Session COMMITTEE PRINT S. Prt. 111-26 MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE Massachusetts, Chairman CHRISTOPHER J. DODD, Connecticut RUSSELL D. FEINGOLD, Wisconsin BARBARA BOXER, California ROBERT ...","","2010-01-01"
"132","Congressional Committee Prints","CPRT-110SPRT44239","CPRT-110SPRT44239","ARGENTINA: RUDDERLESS","https://www.govinfo.gov/app/details/CPRT-110SPRT44239/CPRT-110SPRT44239","https://www.govinfo.gov/content/pkg/CPRT-110SPRT44239/pdf/CPRT-110SPRT44239.pdf","2.9 MB","https://www.govinfo.gov/content/pkg/CPRT-110SPRT44239/html/CPRT-110SPRT44239.htm","59.8 KB","","0 B","","0 B","","0 B"," STATES SENATE One Hundred Tenth Congress Second Session September 9, 2008 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PRINTING OFFICE 44-239 PDF WASHINGTON : 2008 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (...","","2008-09-09"
"133","Congressional Committee Prints","CPRT-109SPRT31324","CPRT-109SPRT31324","EMBASSIES AS COMMAND POSTS IN THE ANTI-TERROR CAMPAIGN","https://www.govinfo.gov/app/details/CPRT-109SPRT31324/CPRT-109SPRT31324","https://www.govinfo.gov/content/pkg/CPRT-109SPRT31324/pdf/CPRT-109SPRT31324.pdf","600.5 KB","https://www.govinfo.gov/content/pkg/CPRT-109SPRT31324/html/CPRT-109SPRT31324.htm","74.1 KB","","0 B","","0 B","","0 B","ON FOREIGN RELATIONS UNITED STATES SENATE Richard G. Lugar, Chairman One Hundred Ninth Congress Second Session December 15, 2006 U.S. GOVERNMENT PRINTING OFFICE 31-324 WASHINGTON : 2006 For Sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; (202) 512�091800 Fax: (202...","","2006-12-15"
"134","Congressional Committee Prints","CPRT-107SPRT70122","CPRT-107SPRT70122","PROGRESS IN THE BALKANS: KOSOVO, SERBIA, AND BOSNIA AND HERZEGOVINA","https://www.govinfo.gov/app/details/CPRT-107SPRT70122/CPRT-107SPRT70122","https://www.govinfo.gov/content/pkg/CPRT-107SPRT70122/pdf/CPRT-107SPRT70122.pdf","128.6 KB","https://www.govinfo.gov/content/pkg/CPRT-107SPRT70122/html/CPRT-107SPRT70122.htm","49.7 KB","","0 B","","0 B","","0 B"," R. BIDEN, JR. TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE FEBRUARY 2001 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PRINTING OFFICE 70-122 CC WASHINGTON : 2001 JESSE HELMS, North Carolina, Chairman RICHARD G. LUGAR, Indiana JOSEPH R. BIDEN, Jr., Delaware CHUCK HAGEL, Nebraska PAUL S. SARBANES, ...","","2001-02-09"
"135","Congressional Committee Prints","CPRT-106SPRT70663","CPRT-106SPRT70663","HAGUE CONVENTION ON INTERNATIONAL CHILD ABDUCTION Applicable Law and Institutional Framework Within Certain Convention Countries","https://www.govinfo.gov/app/details/CPRT-106SPRT70663/CPRT-106SPRT70663","https://www.govinfo.gov/content/pkg/CPRT-106SPRT70663/pdf/CPRT-106SPRT70663.pdf","489.3 KB","https://www.govinfo.gov/content/pkg/CPRT-106SPRT70663/html/CPRT-106SPRT70663.htm","529.3 KB","","0 B","","0 B","","0 B"," Within Certain Convention Countries A REPORT TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE BY THE LAW LIBRARY OF CONGRESS One Hundred Sixth Congress Second Session October 2000 CHUCK HAGEL, Nebraska JOSEPH R. BIDEN, Jr., Delaware GORDON H. SMITH, Oregon PAUL S. SARBANES, Maryland ROD GRAMS, Minnesota CHRISTOPHER J. DODD, Connecticut ...","","2000-10-01"
"136","Congressional Committee Prints","CPRT-106SPRT69353","CPRT-106SPRT69353","FORTY-FIRST MEETING OF THE CANADA-UNITED STATES INTERPARLIAMENTARY GROUP MAY 19-23, 2000","https://www.govinfo.gov/app/details/CPRT-106SPRT69353/CPRT-106SPRT69353","https://www.govinfo.gov/content/pkg/CPRT-106SPRT69353/pdf/CPRT-106SPRT69353.pdf","131.7 KB","https://www.govinfo.gov/content/pkg/CPRT-106SPRT69353/html/CPRT-106SPRT69353.htm","110.4 KB","","0 B","","0 B","","0 B"," OF THE CHAIRMAN TO THE SENATE DELEGATION PURSUANT TO Public Law 42, 86th Congress COMMITTEE ON FOREIGN RELATIONS JESSE HELMS, North Carolina, Chairman RICHARD G. LUGAR, Indiana JOSEPH R. BIDEN, Jr., Delaware CHUCK HAGEL, Nebraska PAUL S. SARBANES, Maryland GORDON H. SMITH, Oregon CHRISTOPHER J. DODD, Connecticut ROD GRAMS, Minnesota JOHN F. ...","","2000-01-01"
"137","Congressional Committee Prints","CPRT-87SPRT77317","CPRT-87SPRT77317","Seventh NATO Parliamentarians' Conference: report of the United States Senate Delegation to the seventh conference of members of parliament from the NATO countries, held in Paris, November 13 to November 17, 1961, pursuant to Public law 689, 84th Congress.","https://www.govinfo.gov/app/details/CPRT-87SPRT77317/CPRT-87SPRT77317","https://www.govinfo.gov/content/pkg/CPRT-87SPRT77317/pdf/CPRT-87SPRT77317.pdf","11.8 MB","","0 B","","0 B","","0 B","","0 B"," RMAP 5 isc REPORT OF THE UNITED STATES'/SENATE DELEGATION TO THE SEVENTH CONFERENCE OF MEMBERS OF PAR­ LIAMENT FROM THE NATO COUNTRIES, HELD IN PARIS, NOVEMBER 13 TO NOVEMBER 17, 1961 PURSUANT TO Public Law 689—84th Congress 77317 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1962 : .'.'1 ' ...","","1962-01-08"
"138","Congressional Committee Prints","CPRT-86SPRT56125","CPRT-86SPRT56125","United States foreign policy: Middle East: Staff study.","https://www.govinfo.gov/app/details/CPRT-86SPRT56125/CPRT-86SPRT56125","https://www.govinfo.gov/content/pkg/CPRT-86SPRT56125/pdf/CPRT-86SPRT56125.pdf","56.4 MB","","0 B","","0 B","","0 B","","0 B","s ,1 jut COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE - I . Ot'Q r 3 (Pursuant to S. Res. 336, 85th Cong., and S. Res. 31 and S. Res. 250, 86th Cong.) No. 13 JUNE 9, 1960 Printed for the use of the Committee on Foreign Relations UNITED STATES GOVERNMENT PRINTING OFFICE WASHINGTON : 1960 COMMITTEE ON FOREIGN RELATIONS J. W. FULBRIGHT, ...","","1960-06-09"
"139","Congressional Committee Prints","CPRT-86SPRT47753","CPRT-86SPRT47753","United States-Latin American relations. Number 3, The Organization of American States: a study prepared at the request of the Subcommittee on American Republics Affairs of the Committee on Foreign Relations, United States Senate ... (pursuant to S. Res. 330, 85th Cong., and S. Res. 31, 86th Cong.) ...","https://www.govinfo.gov/app/details/CPRT-86SPRT47753/CPRT-86SPRT47753","https://www.govinfo.gov/content/pkg/CPRT-86SPRT47753/pdf/CPRT-86SPRT47753.pdf","46.0 MB","","0 B","","0 B","","0 B","","0 B"," ON AMERICAN REPUBLICS AFFAIRS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES (SENATE NORTHWESTERN UNIVERSITY (Pursuant to S. Res. 330, 85th Cong., and S. Res. 31, 86th Cong.) DECEMBER 24, 1959 A I cT IS J API '1 oJ Printed for the use of the Committee on Foreign Relations UNITED STATES GOVERNMENT PRINTING OFFICE 47753 WASHINGTON : 1959 ...","","1959-12-24"
"140","Congressional Committee Prints","CPRT-86SPRT47575","CPRT-86SPRT47575","United States-Latin American relations. Number 2, commodity problems in Latin America: a study prepared at the request of the Subcommittee on American Republics Affairs of the Committee on Foreign Relations, United States Senate ... (pursuant to S. Res. 330, 85th Cong., and S. Res. 31, 86th Cong.) ...","https://www.govinfo.gov/app/details/CPRT-86SPRT47575/CPRT-86SPRT47575","https://www.govinfo.gov/content/pkg/CPRT-86SPRT47575/pdf/CPRT-86SPRT47575.pdf","54.7 MB","","0 B","","0 B","","0 B","","0 B"," THE REQUEST OF THE SUBCOMMITTEE ON AMERICAN REPUBLICS AFFAIRS OF THE COMMITTEE ON ( FOREIGN RELATIONS UNITED STATES SENATE BY INTERNATIONAL ECONOMIC CONSULTANTS, INC. (Pursuant to S. Res. 330, 85th Cong., and S. Res. 31, 86th Cong.) No. 2 fa Il JAN ° ’60 - / DECEMBER 12, 1959 Printed for the use of the Committee on Foreign Re n.” 47576 UNITED ...","","1959-12-12"
"141","Congressional Committee Prints","CPRT-96JPRT36588OvI","CPRT-96JPRT36588OvI","Legislation on foreign relations through 1978. Volume 1: Current legislation and related executive orders.","https://www.govinfo.gov/app/details/CPRT-96JPRT36588OvI/CPRT-96JPRT36588OvI","https://www.govinfo.gov/content/pkg/CPRT-96JPRT36588OvI/pdf/CPRT-96JPRT36588OvI.pdf","302.1 MB","","0 B","","0 B","","0 B","","0 B","1979 CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS VOLUME I U.S. Senate U.S. House of Representatives COMMITTEE ON FOREIGN RELATIONS COMMITTEE ON FOREIGN AFFAIRS Legislation on Foreign Relations Through 1978 JOINT COMMITTEE PRINT FEBRUARY 1979 CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS VOLUME I U.S. Senate U.S. House of Representatives ...","","1979-02-01"
"142","Congressional Committee Prints","CPRT-93SPRT95794","CPRT-93SPRT95794","The International Telephone and Telegraph Company and Chile, 1970-71: report to the Committee on Foreign Relations, United States Senate.","https://www.govinfo.gov/app/details/CPRT-93SPRT95794/CPRT-93SPRT95794","https://www.govinfo.gov/content/pkg/CPRT-93SPRT95794/pdf/CPRT-93SPRT95794.pdf","12.4 MB","","0 B","","0 B","","0 B","","0 B"," AND TELEGRAPH COMPANY AND CHILE, 1970-71 REPORT TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE BY THE SUBCOMMITTEE ON MULTINATIONAL CORPORATIONS __> m === H JUNE 21, 1973 Printed for the use of the Committee on Foreign Relations 95-794 U.S. GOVERNMENT. PRINTING OFFICE WASHINGTON : 1973 COMMITTEE ON FOREIGN RELATIONS J. W. FULBRIGHT,...","","1973-06-21"
"143","Congressional Committee Prints","CPRT-108JPRT85197","CPRT-108JPRT85197","EXPLANATION OF PROPOSED PROTOCOL TO THE INCOME TAX TREATY BETWEEN THE UNITED STATES AND MEXICO Scheduled for a Hearing Before the COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON MARCH 5, 2003","https://www.govinfo.gov/app/details/CPRT-108JPRT85197/CPRT-108JPRT85197","https://www.govinfo.gov/content/pkg/CPRT-108JPRT85197/pdf/CPRT-108JPRT85197.pdf","117.0 KB","https://www.govinfo.gov/content/pkg/CPRT-108JPRT85197/html/CPRT-108JPRT85197.htm","69.3 KB","","0 B","","0 B","","0 B"," the COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON MARCH 5, 2003 Prepared by the Staff of the JOINT COMMITTEE ON TAXATION [GRAPHIC] [TIFF OMITTED]CONGRESS.#13 March 3, 2003 U.S. GOVERNMENT PRINTING OFFICE 85-197 WASHINGTON : 2003 JCS-6-03 JOINT COMMITTEE ON TAXATION 108th Congress, 1st Session ------ HOUSE SENATE WILLIAM M. THOMAS, ...","","2003-03-03"
"144","Congressional Committee Prints","CPRT-106JPRT59784","CPRT-106JPRT59784","EXPLANATION OF PROPOSED INCOME TAX TREATY BETWEEN THE UNITED STATES AND THE REPUBLIC OF LITHUANIA Scheduled for a Hearing before the COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON OCTOBER 13, 1999","https://www.govinfo.gov/app/details/CPRT-106JPRT59784/CPRT-106JPRT59784","https://www.govinfo.gov/content/pkg/CPRT-106JPRT59784/pdf/CPRT-106JPRT59784.pdf","254.2 KB","https://www.govinfo.gov/content/pkg/CPRT-106JPRT59784/html/CPRT-106JPRT59784.htm","178.7 KB","","0 B","","0 B","","0 B"," before the COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON OCTOBER 13, 1999 Prepared by the Staff of the JOINT COMMITTEE ON TAXATION [GRAPHIC] [TIFF OMITTED] OCTOBER 8, 1999 JOINT COMMITTEE ON TAXATION 106th Congress, 1st Session ------ HOUSE SENATE BILL ARCHER, Texas, WILLIAM V. ROTH, Jr., Delaware, Chairman Vice Chairman PHILIP M. ...","","1999-10-08"
"145","Congressional Committee Prints","CPRT-106JPRT59869","CPRT-106JPRT59869","EXPLANATION OF PROPOSED INCOME TAX TREATY BETWEEN THE UNITED STATES AND THE REPUBLIC OF SLOVENIA Scheduled for a Hearing before the COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON OCTOBER 13, 1999","https://www.govinfo.gov/app/details/CPRT-106JPRT59869/CPRT-106JPRT59869","https://www.govinfo.gov/content/pkg/CPRT-106JPRT59869/pdf/CPRT-106JPRT59869.pdf","248.8 KB","https://www.govinfo.gov/content/pkg/CPRT-106JPRT59869/html/CPRT-106JPRT59869.htm","170.4 KB","","0 B","","0 B","","0 B"," before the COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON OCTOBER 13, 1999 Prepared by the Staff of the JOINT COMMITTEE ON TAXATION [GRAPHIC] [TIFF OMITTED] OCTOBER 8, 1999 JOINT COMMITTEE ON TAXATION 106th Congress, 1st Session ------ HOUSE SENATE BILL ARCHER, Texas, WILLIAM V. ROTH, Jr., Delaware, Chairman Vice Chairman PHILIP M. ...","","1999-10-08"
